COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-09-30 12:00:00","999648","15.89700701","0.0034282","53.2173","225.9692","62.7249","346.8577","0","999","130","-0.0040928","-0.0130116","0.00048292","3587506","0 STARLINK-5022","1 53903U 22119T   22273.50001157 -.01301160  48292-3 -40928-2 0  9997","2 53903  53.2173 225.9692 0034282  62.7249 346.8577 15.89700701  1309","2022-119T","53903","6681.258","90.583","326.028","280.219","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-09-30 22:00:00","999936","15.88738861","0.0029277","53.2189","223.8579","64.8284","209.8411","0","999","130","-0.0050761","-0.01511533","0.00062913","3587966","0 STARLINK-5022","1 53903U 22119T   22273.91667824 -.01511533  62913-3 -50761-2 0  9990","2 53903  53.2189 223.8579 0029277  64.8284 209.8411 15.88738861  1309","2022-119T","53903","6683.955","90.638","325.388","286.251","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-01 06:00:00","999648","15.87841412","0.0026103","53.2191","222.174","64.9329","316.6915","0","999","141","-0.0051543","-0.01456156","0.00058278","3588024","0 STARLINK-5022","1 53903U 22119T   22274.25001157 -.01456156  58278-3 -51543-2 0  9996","2 53903  53.2191 222.1740 0026103  64.9329 316.6915 15.87841412  1414","2022-119T","53903","6686.473","90.689","325.792","290.884","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-01 14:00:01","224","15.86942939","0.0022792","53.2187","220.4881","64.9297","62.6106","0","999","147","-0.0052347","-0.0140487","0.00054139","3588378","0 STARLINK-5022","1 53903U 22119T   22274.58334491 -.01404870  54139-3 -52347-2 0  9993","2 53903  53.2187 220.4881 0022792  64.9297  62.6106 15.86942939  1471","2022-119T","53903","6688.996","90.741","326.107","295.616","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-01 22:00:00","999936","15.86143404","0.001844","53.2184","218.8053","66.2525","166.1134","0","999","152","-0.0059615","-0.01355665","0","3588655","0 STARLINK-5022","1 53903U 22119T   22274.91667824 -.01355665  00000-0 -59615-2 0  9996","2 53903  53.2184 218.8053 0018440  66.2525 166.1134 15.86143404  1521","2022-119T","53903","6691.244","90.786","325.448","300.770","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-02 12:00:02","160","15.84523546","0.0011974","53.2175","215.8661","63.2394","260.235","0","999","161","-0.0058117","-0.01222855","0","3589209","0 STARLINK-5022","1 53903U 22119T   22275.50002315 -.01222855  00000-0 -58117-2 0  9990","2 53903  53.2175 215.8661 0011974  63.2394 260.2350 15.84523546  1612","2022-119T","53903","6695.804","90.879","325.686","309.651","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-02 14:00:01","224","15.84254693","0.0011828","53.2187","215.4478","64.248","14.7759","0","999","130","-0.0054587","-0.01122507","0","3589474","0 STARLINK-5022","1 53903U 22119T   22275.58334491 -.01122507  00000-0 -54587-2 0  9991","2 53903  53.2187 215.4478 0011828  64.2480  14.7759 15.84254693  1307","2022-119T","53903","6696.561","90.894","326.347","310.505","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-02 22:00:00","999936","15.83486776","0.0008112","53.2187","213.7719","60.7596","119.944","0","999","130","-0.0064372","-0.01275486","0","3589751","0 STARLINK-5022","1 53903U 22119T   22275.91667824 -.01275486  00000-0 -64372-2 0  9995","2 53903  53.2187 213.7719 0008112  60.7596 119.9440 15.83486776  1300","2022-119T","53903","6698.726","90.939","326.025","315.157","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-03 04:00:01","999584","15.82772975","0.000569","53.2175","212.5169","51.9182","114.4943","0","999","172","-0.0061931","-0.01193128","0","3589790","0 STARLINK-5022","1 53903U 22119T   22276.16668981 -.01193128  00000-0 -61931-2 0  9998","2 53903  53.2175 212.5169 0005690  51.9182 114.4943 15.82772975  1726","2022-119T","53903","6700.740","90.980","326.418","318.792","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-03 12:00:00","999648","15.81928088","0.0002376","53.2173","210.8437","25.5195","240.7228","0","999","177","-0.0066909","-0.0123076","0","3590103","0 STARLINK-5022","1 53903U 22119T   22276.50001157 -.01230760  00000-0 -66909-2 0  9996","2 53903  53.2173 210.8437 0002376  25.5195 240.7228 15.81928088  1773","2022-119T","53903","6703.125","91.028","326.583","323.398","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-03 14:00:01","224","15.81691016","0.0002019","53.2184","210.4273","15.0238","6.0369","0","999","130","-0.0065511","-0.01195753","0","3590320","0 STARLINK-5022","1 53903U 22119T   22276.58334491 -.01195753  00000-0 -65511-2 0  9994","2 53903  53.2184 210.4273 0002019  15.0238   6.0369 15.81691016  1301","2022-119T","53903","6703.795","91.042","327.014","324.307","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-03 22:00:00","999936","15.808703","0.0003063","53.2183","208.7579","291.0512","188.5839","0","999","130","-0.0071739","-0.01253319","0","3590585","0 STARLINK-5022","1 53903U 22119T   22276.91667824 -.01253319  00000-0 -71739-2 0  9992","2 53903  53.2183 208.7579 0003063 291.0512 188.5839 15.80870300  1302","2022-119T","53903","6706.115","91.089","330.034","325.926","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-04 04:00:00","999936","15.80162055","0.0005306","53.2176","207.5074","277.6316","185.2961","0","999","188","-0.0069157","-0.01179894","0","3590644","0 STARLINK-5022","1 53903U 22119T   22277.16667824 -.01179894  00000-0 -69157-2 0  9996","2 53903  53.2176 207.5074 0005306 277.6316 185.2961 15.80162055  1889","2022-119T","53903","6708.119","91.130","333.543","326.425","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-04 14:00:01","224","15.79089998","0.0006707","53.2176","205.4239","270.0361","43.6922","0","999","194","-0.0074074","-0.01201582","0","3590932","0 STARLINK-5022","1 53903U 22119T   22277.58334491 -.01201582  00000-0 -74074-2 0  9997","2 53903  53.2176 205.4239 0006707 270.0361  43.6922 15.79089998  1945","2022-119T","53903","6711.155","91.192","337.521","328.519","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-04 22:00:00","999936","15.78273467","0.0003186","53.2185","203.7632","288.6418","120.5302","0","999","130","-0.0081928","-0.01268073","0","3591597","0 STARLINK-5022","1 53903U 22119T   22277.91667824 -.01268073  00000-0 -81928-2 0  9997","2 53903  53.2185 203.7632 0003186 288.6418 120.5302 15.78273467  1301","2022-119T","53903","6713.469","91.239","337.473","333.195","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 04:00:00","999936","15.77627795","0.0001052","53.2186","202.5195","314.3124","75.7714","0","999","203","-0.0084555","-0.01269277","0","3591632","0 STARLINK-5022","1 53903U 22119T   22278.16667824 -.01269277  00000-0 -84555-2 0  9991","2 53903  53.2186 202.5195 0001052 314.3124  75.7714 15.77627795  2039","2022-119T","53903","6715.301","91.276","337.872","336.459","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 14:00:01","999872","15.76501362","0.0001231","53.2183","200.4432","50.6253","186.4403","0","999","130","-0.0084878","-0.01218044","0","3592692","0 STARLINK-5022","1 53903U 22119T   22278.58335648 -.01218044  00000-0 -84878-2 0  9997","2 53903  53.2183 200.4432 0001231  50.6253 186.4403 15.76501362  1303","2022-119T","53903","6718.499","91.342","341.191","339.537","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 20:00:01","224","15.75829418","0.0001304","53.2184","199.2008","60.6844","155.6776","0","999","214","-0.0085042","-0.01188244","0","3592754","0 STARLINK-5022","1 53903U 22119T   22278.83334491 -.01188244  00000-0 -85042-2 0  9992","2 53903  53.2184 199.2008 0001304  60.6844 155.6776 15.75829418  2144","2022-119T","53903","6720.409","91.380","343.150","341.398","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-05 22:00:00","999936","15.75616684","0.0001143","53.2181","198.7869","50.4485","278.8993","0","999","130","-0.0086446","-0.0119551","0","3593077","0 STARLINK-5022","1 53903U 22119T   22278.91667824 -.01195510  00000-0 -86446-2 0  9993","2 53903  53.2181 198.7869 0001143  50.4485 278.8993 15.75616684  1304","2022-119T","53903","6721.014","91.393","343.647","342.111","0"
